mmsi,.pred_1,year,found_news,news_source
261004830,0.08370872280497281,2014,,
701006069,0.5651400105435627,2015,,
412674960,0.528979884275713,2014,,
247066420,0.1408941534135799,2014,,
412697530,0.5964698111979736,2018,,
266083000,0.13237960171226235,2014,,
316001854,0.3373142712384234,2018,,
412420929,0.7184180948706735,2015,,
247079050,0.10416363948306596,2016,,
431701710,0.5695108732656401,2018,,
247131580,0.08720976587301589,2018,,
227108400,0.10260148742923744,2016,,
701000938,0.18513911273100825,2016,,
273825110,0.452287659338185,2018,,
228259600,0.13238480859989685,2018,,
250104640,0.20494103797883403,2015,,
271072735,0.07219787829980479,2018,,
412280947,0.28804344610205757,2018,,
227319190,0.07072765700965702,2017,,
257803500,0.09921679146730464,2016,,
259421000,0.2687133281914164,2013,,
316020762,0.07564392049617051,2012,,
235033145,0.2817818407977382,2016,,
412439586,0.6913604577799864,2013,,
412695670,0.76521468490319,2017,,
367187080,0.12299129981129982,2013,,
412698940,0.5432210136185922,2013,,
247101120,0.08802399866799868,2013,,
273345950,0.5342381969927129,2014,,
263402350,0.15068731086457401,2016,,
338022079,0.2574615144993895,2016,,
367570090,0.218312834013209,2014,,
247148220,0.08708907900432902,2016,,
257135220,0.0867498277833278,2017,,
240414000,0.2578850031664242,2018,,
265794820,0.154457942987568,2017,,
303428000,0.15225740371762742,2016,,
224050990,0.09127839632589634,2017,,
503710900,0.1108581897285721,2013,,
258334000,0.281989978835492,2017,,
503711400,0.1402882165889666,2018,,
431600420,0.36713092869630365,2018,,
265752900,0.26913443744048343,2018,,
316003459,0.09397163403228151,2018,,
273311050,0.20801906484686625,2017,,
247044980,0.08496423615273617,2017,,
416000251,0.6296962142953664,2017,,
227317040,0.08348737468087469,2018,,
367549190,0.10575515867465869,2017,,
224394000,0.33327495193565015,2017,,
