year,number_vessels,number_vessels_known_length,number_vessels_known_tonnage_gt,number_vessels_known_engine_power_kw,number_vessels_known_crew_size,fraction_vessels_known_length,fraction_number_vessels_known_tonnage_gt,fraction_number_vessels_known_engine_power_kw,fraction_number_vessels_known_crew_size
2012,4391,2950,2922,2461,97,0.6718287406057846,0.6654520610339331,0.5604645866545206,0.022090639945342747
2013,7371,5032,4986,4408,153,0.682675349342016,0.6764346764346765,0.5980192646859314,0.020757020757020756
2014,8484,5851,5800,5158,100,0.6896511079679396,0.6836397925506836,0.607967939651108,0.011786892975011787
2015,9822,6824,6748,5984,101,0.6947668499287314,0.687029118305844,0.6092445530441866,0.010283038077784565
2016,11123,7628,7540,6432,165,0.6857862087566304,0.6778746740987144,0.5782612604513171,0.014834127483592556
2017,12376,8217,8122,6815,254,0.6639463477698772,0.6562702003878474,0.5506625727213963,0.020523594053005818
2018,12801,8063,7966,6625,365,0.6298726661979532,0.6222951331927193,0.5175376923677838,0.02851339739082884
