mmsi,year,in_operation,fldb_vessel_id
412420941,2019,TRUE,97
440801000,2016,TRUE,156
567000421,2015,TRUE,1
441051000,2014,TRUE,149
440652000,2020,TRUE,179
312422000,2014,TRUE,4
416004553,2017,TRUE,172
413270220,2016,TRUE,100
416180800,2017,TRUE,193
416001769,2014,TRUE,118
412329687,2020,TRUE,176
440801000,2020,TRUE,156
412420941,2016,TRUE,97
416180800,2018,TRUE,193
413270220,2015,TRUE,100
416243500,2015,TRUE,188
413270220,2020,TRUE,100
412329687,2017,TRUE,176
441051000,2017,TRUE,149
440652000,2012,TRUE,179
440652000,2016,TRUE,179
312422000,2016,TRUE,4
416243500,2020,TRUE,188
416004553,2016,TRUE,172
416004553,2014,TRUE,172
441051000,2016,TRUE,149
273526800,2014,TRUE,72
440980000,2013,TRUE,146
441053000,2014,TRUE,148
416180800,2019,TRUE,193
567025800,2015,TRUE,2
312422000,2017,TRUE,4
416001769,2018,TRUE,118
416004553,2018,TRUE,172
416004553,2020,TRUE,172
412201837,2019,TRUE,102
440652000,2015,TRUE,179
441051000,2019,TRUE,149
412420941,2020,TRUE,97
312422000,2019,TRUE,4
441051000,2018,TRUE,149
441051000,2013,TRUE,149
440652000,2014,TRUE,179
440801000,2015,TRUE,156
312000125,2014,TRUE,5
416004553,2015,TRUE,172
412201837,2018,TRUE,102
412201837,2015,TRUE,102
412201837,2020,TRUE,102
440652000,2018,TRUE,179
416180800,2015,TRUE,193
576678000,2014,TRUE,79
412201837,2017,TRUE,102
440801000,2013,TRUE,156
567025800,2016,TRUE,2
416180800,2020,TRUE,193
273526800,2012,TRUE,72
412420941,2015,TRUE,97
413270220,2018,TRUE,100
273526800,2015,TRUE,72
441051000,2012,TRUE,149
440652000,2017,TRUE,179
576678000,2017,TRUE,79
416054500,2018,TRUE,154
431602130,2014,TRUE,173
431602130,2012,TRUE,173
412329687,2018,TRUE,176
441053000,2012,TRUE,148
440980000,2015,TRUE,146
441053000,2015,TRUE,148
416180800,2016,TRUE,193
416243500,2016,TRUE,188
576678000,2018,TRUE,79
416243500,2018,TRUE,188
440801000,2017,TRUE,156
412329687,2014,TRUE,176
416001769,2016,TRUE,118
567025800,2013,TRUE,2
416004553,2019,TRUE,172
416243500,2013,TRUE,188
431602130,2015,TRUE,173
441051000,2020,TRUE,149
440980000,2016,TRUE,146
440652000,2019,TRUE,179
416001769,2017,TRUE,118
441051000,2015,TRUE,149
440801000,2019,TRUE,156
567025800,2014,TRUE,2
312422000,2013,TRUE,4
413270220,2017,TRUE,100
431602130,2013,TRUE,173
440801000,2012,TRUE,156
412329687,2016,TRUE,176
273526800,2013,TRUE,72
312000125,2016,TRUE,5
567025800,2019,TRUE,2
567000421,2016,TRUE,1
312000125,2015,TRUE,5
412420941,2014,TRUE,97
440652000,2013,TRUE,179
412329687,2019,TRUE,176
416004553,2013,TRUE,172
416243500,2017,TRUE,188
567000445,2015,TRUE,6
576678000,2016,TRUE,79
440801000,2014,TRUE,156
416243500,2014,TRUE,188
440980000,2012,TRUE,146
440801000,2018,TRUE,156
416001769,2020,TRUE,118
567000445,2016,TRUE,6
576678000,2019,TRUE,79
416054500,2017,TRUE,154
412329687,2015,TRUE,176
441053000,2013,TRUE,148
412420941,2017,TRUE,97
416001769,2015,TRUE,118
312422000,2015,TRUE,4
576678000,2015,TRUE,79
440980000,2014,TRUE,146
412420941,2018,TRUE,97
576678000,2020,TRUE,79
567025800,2018,TRUE,2
416243500,2019,TRUE,188
416001769,2019,TRUE,118
412201837,2016,TRUE,102
413270220,2019,TRUE,100
